prompt,response
"Common themes in the Vegan YouTube movement: Community, health, ethics, regret and education","YouTube videos of vegan diets and lifestyle show a community, health, ethics, regret, and education focus."
Does the future of meat in France depend on cultured muscle cells? Answers from different consumer segments.,Younger people and women are more supportive of cultured meat due to a greater sensitivity to issues related to livestock systems.
Consumer acceptance of cultured meat in urban areas of three cities in China,"Younger males with a higher education, those who think highly of the meat and more satisfied with the governments regulation of food safety are more likely to accept and try cultured meat."
Preferences for Meat Labeling in Taiwanese Traditional Markets: What do Consumers Want?,Younger females with higher education have a positive willingness to pay for food safety related information.
European consumer valuation for cultured beef burger:a multi-country investigation using choice experiments,Younger consumers and those with lower degree of neophobia towards new food technologies tend to accept more cultured beef burger.
"Alternative proteins, evolving attitudes: Comparing consumer attitudes to plant-based and cultured meat in Belgium in two consecutive years","Younger consumers and those in the northern, Dutch-speaking region of Flanders are more positive towards cultured meat."
"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?",Younger and more highly educated individuals tend to have stronger preferences for plant- and lab-grown alternatives to farm-raised beef.
Tracing the Profile of Animal Rights Supporters: A Preliminary Investigation,"Young, non-black minorities, and the less educated are more likely to support animal rights."
esearch and Professional Briefs oung Swedish Vegans Have Different Sources of utrients than Young Omnivores,"Young vegans rely on dietary supplements as a source of vitamin B-12, vitamin D, calcium, and selenium."
Consumers’ valuation for cultured meat: a multi-city choice experiment in China,Young consumers with higher education level are more sensitive to mixed information.
Competitive outreach in the 21st century: Why we need conservation marketing,"Without the ability to influence human behavior, a conservationists role will be limited to that of describing the loss of biodiversity."
"If you build it, will they eat it? Consumer preferences for plant-based and cultured meat burgers","Willingness to purchase plant-based and cultured meat burgers is linked to age, sex, views of other food technologies, and attitudes towards the environment and agriculture."
"Who eats wild meat? Profiling consumers in Ho Chi Minh City, Vietnam",Wild meat consumption is of conservation concern in Vietnam.
Communicating health and wellness,Widespread environmental awareness could explain the rise in the popularity of eco-friendly household products.
"Towards reduced meat consumption: A systematic literature review of intervention effectiveness, 2001–2019","While scholarly research distilled drivers of meat consumption and barriers to its reduction, insights into the effectiveness of measures to initiate such a profound change in consumer behavior are relatively scarce."
"Towards reduced meat consumption: A systematic literature review of intervention effectiveness, 2001–2019","While scholarly research distilled drivers of meat consumption and barriers to its reduction, insights into the effectiveness of measures to initiate such a profound change in consumer behavior are relatively scarce."
Meat or wheat for the next millennium ? A Debate Pro veg The nutritional adequacy of plant-based diets,Well-balanced vegetarian diets can support normal growth and development.
Marketing farm animal welfare factsheet,Welfare Quality® investigated how animal welfare is mobilized from farm to supermarket shelf as a means of both achieving increased product value and broader ethical branding.
Consumer Response to Negative Media Information About Certified Organic Food Products,Watching a documentary containing information about fraud and misapprehension negatively affects organic food labels.
"Fighting back: Vulnerabilities, blunders, and countermobilization by the targets in three animal rights campaigns",Vulnerable preexisting practices and strategic blunders are some of the factors that influence the success of animal rights campaigns.
"Fighting back: Vulnerabilities, blunders, and countermobilization by the targets in three animal rights campaigns",Vulnerable preexisting practices and blunders were influential in the success of animal rights movement campaigns.
"Fighting back: Vulnerabilities, blunders, and countermobilization by the targets in three animal rights campaigns","Vulnerabilities, strategic responses, and countermovement hardening affect the success of animal rights campaigns."
Wanted!: Animal Volunteers,"Volunteering with animals for nursing home residents, AIDS patients, people with emotional or physical handicaps, and prisoners can help lower blood pressure."
Consumer perceptions of meat production: enhancing the competitiveness of British agriculture by understanding communication with the consumer,Viewpoints on meat production vary widely among consumers.
The credibility of shock advocacy: Animal rights attack messages,Viewing PETAs attack message against abuses at corporate pig farms was effective in eroding the credibility of the corporate food-industry raising animals for consumption.
European citizen and consumer attitudes and preferences regarding beef and pork.,"Viewing meat as a healthy and important component of the diet, European citizens and consumers support technology that can improve health attributes and eating quality."
European citizen and consumer attitudes and preferences regarding beef and pork.,"Viewing meat as a healthy and important component of the diet, consumers support technologies that can improve health attributes and eating quality."
"If you build it, will they eat it? Consumer preferences for plant-based and cultured meat burgers",Viewing cultured meat as a technology that can help the environment and agriculture is linked to a higher likelihood of cultured meat purchase.
The credibility of shock advocacy: Animal rights attack messages,Viewers of PETAs attack message against abuses on corporate farms erode the credibility of corporate farms.
A holistic approach to access the viability of cultured meat: A review,"Viability, public acceptance, and the economy are key barriers to the success of cultured meat."
The importance of animal welfare and Veterinary Services in a changing world.,Veterinary Services are key players in improving animal welfare and are essential to generate change at scale.
Taking the lead: veterinary intervention in disaster relief,"Veterinary relief efforts may promote not just the welfare of animals, but also that of human beings caught up in disasters."
The animal welfare bête noire in veterinary medicine.,Veterinary medicine faces the challenge of balancing animal welfare with the needs of society.
Animal Ethics for Veterinarians,Veterinarians serve on the front lines working to prevent animal suffering and abuse.
"A commentary on the animal welfare symposium, with possible actions.",Veterinarians have a special role as animals advocates for their physical and mental health and welfare.
The Ethics of Animal Use: One Veterinarian’s Perspective,Veterinarians are uniquely qualified to bring animals back to an equal moral footing.
Vertical Farming and Cultured Meat: Immature Technologies for Urgent Problems,Vertical farming and cultured meat production have the potential to contribute to the reduction of negative environmental impacts of agriculture.
"Vegetarianism, Veganism, and Meat Avoidance: Recent Trends and Findings","Vegetarians may push ethical consumerism to food producers, processors, and retailers."
The Origins of Modern Vegetarianism,"Vegetarians may be many things, but they are not lonely."
Exploring Consumers’ Purchase Intention of an Innovation of the Agri-Food Industry: A Case of Artificial Meat,Vegetarians are willing to pay higher prices than nonvegetarians.
Vegetarianism as a social identity,Vegetarians are more pro-social than omnivores and tend to have more liberal political views.
"Food-related lifestyle and health attitudes of Dutch vegetarians, non-vegetarian consumers of meat substitutes, and meat consumers",Vegetarians are more occupied by health than meat consumers.
"Perceptions and practices of self-defined current vegetarian, former vegetarian, and nonvegetarian women.",Vegetarians are more likely than nonvegetarians to agree with statements inferring negative attributes on meat and dairy products.
Vegetarians and different types of meat eaters among the Finnish adult population from 2007 to 2017,Vegetarians and groups differing in their processed meat consumption levels might benefit from differing interventions and nutrition information.
Household Expenditure on Meat Versus Nonmeat Sources of Protein In the United States,"Vegetarianism is more prevalent in the United States, although it is not dominant."
"Vegetarianism, Veganism, and Meat Avoidance: Recent Trends and Findings","Vegetarianism is increasing steadily in the UK population, although the rate of increase varies by gender, age, and socio-economic category."
Is vegetarianism a diet or an ideology?,Vegetarianism is becoming an increasingly popular diet choice for health- and environment-conscious North Americans.
Meat consumption and vegetarianism among young adults in the UK: An empirical study,Vegetarianism has reached a plateau and is mainly female.
Vegetarianism: Toward a greater understanding.,Vegetarianism continues to gain prominence in contemporary society.
Vegetarianism and Veganism,Vegetarianism and veganism challenge assumptions about how humans should conduct their lives and make use of the natural world.
Vegetarianism and Veganism,Vegetarianism and veganism challenge assumptions about how humans should conduct their lives and make use of the natural world.
Dietary Identities in Higher Education,Vegetarian students face barriers regarding vegan meals on campus due to inflexible and unaccommodating policies.
Acceptability of ready-to-eat vegetarian food products in comparison to similar products of animal origin. A pilot study,Vegetarian ready-to-eat food products are not well accepted by consumers.
Halo It’s Meat! the Effect of the Vegetarian Label on Calorie Perception and Food Choices,Vegetarian products are perceived as being less caloric than their non-vegetarian equivalents.
Vege Application! Using Mobile Application to Promote Vegetarian Food,Vegetarian food can be sent immediately after ordering in a vegetarian application without the need to come to the production site.
Vegetarian diets in health promotion and disease prevention.,"Vegetarian dietary patterns are typically rich in vitamins, minerals, phytochemicals, and fiber."
Vegetarianism and veganism: not only benefits but also gaps. A review,"Vegetarian and vegan diets are low in n-3 PUFA, proteins, calcium, zinc, iron, vitamins B12 and D."
Ernährungswende,Vegetarian and vegan diets are becoming increasingly popular.
Veganer Trend erreicht neue Käufergruppen,Vegetarian and vegan alternatives are becoming more popular.
Becoming hegemony: The case for the (Italian) animal advocacy and veganwashing operations,Veganwashing operations take part in capitalist hegemonic discourse.
Veganwashing Israel’s Dirty Laundry? Animal Politics and Nationalism in Palestine-Israel,Veganwashing has rendered animal politics inaudible in Palestine-Israel.
The Veganuary experiment,Veganuary is a campaign that encourages people to try a plant-based diet for the month of January.
“How do you know someones vegan?” They wont always tell you. An empirical test of the do-gooders dilemma,Vegans will go against the majority to sign petitions promoting vegan food options when experimenters endorse them.
Motives for Veganism and the Influence of Social Media,Vegans who frequently use social media are often motivated by health-related factors.
Health effects of vegan diets.,"Vegans should take vitamin B-12, vitamin D, calcium, omega-3 fatty acid, iron, and zinc supplements."
Health effects of vegan diets.,Vegans should take vitamin B-12 supplements because their diet eliminates animal products containing this vitamin.
Life as a Reflexive Project: The Logics of Ethical Veganism and Meat-Eating,"Vegans shared stories of eating meat, whereas few meat-eaters did so."
Spreading the word: communicating about veganism,Vegans see movies and books that expose the maltreatment of animals in the modern food production system as valuable educational tools.
Motives of consumers following a vegan diet and their attitudes towards animal agriculture,Vegans oppose animal agriculture but may be open to animal-friendly forms of animal agriculture.
May Contain Hooves: Why and How the Government Should Implement PlainLanguage Disclosure of Animal Products in Food Labels,Vegans often do not buy products due to ethical concerns rather than dietary concerns.
Vegans of color: managing visible and invisible stigmas,Vegans of color experience both visible and invisible stigma from mainstream vegan movements and from their ethnic communities.
Position of the Academy of Nutrition and Dietetics: Vegetarian Diets.,"Vegans need reliable sources of vitamin B-12, such as fortified foods or supplements."
"Political Veganism: An Empirical Analysis of Vegans’ Motives, Aims, and Political Engagement",Vegans motivated by ethical concerns and a desire to change market practices are more politically active.
Beyond Hippies and Rabbit Food: The Social Effects of Vegetarianism and Veganism,"Vegans may either be met with acceptance, tolerance, or hostility when they divulge their dietary practices."
Perceptions about veganism,"Vegans highlight the benefits of veganism for animals, the environment, and human health."
Response to review of Cancer Survivors Guide.,"Vegans have better overall nutrition and lower rates of obesity, compared with non-vegetarians."
A comparison of dietarian identity profiles between vegetarians and vegans,Vegans have a more positive perception of their dietary in-group than vegetarians do.
Food sources of young Swedish vegans and omnivores : Emphasis on fruit and vegetable intake as well as sources of nutrients,Vegans have a lower intake of fruit and vegetables than omnivores.
"Micronutrient Intake of Vegans Living in Christchurch, New Zealand",Vegans exclude all animal-derived products from their diet for health and ethical reasons.
Managing Impressions,Vegans engage in “face-saving” techniques to promote veganism and vegetarianism to omnivores.
"“I Love Tater Tot Casserole, I Just Make It Vegan”: Applying the Communication Theory of Identity to Examine Vegans’ Identity Management Techniques",Vegans enact their identity in ways that are thoughtful and strategic.
Veganism: A New Approach to Health,"Vegans do not wear fur items, wool, bone, goat, coral, pearl or any other material of animal origin."
Ventajas y desventajas nutricionales de ser vegano o vegetariano,Vegans do not have a high risk of developing vitamin B12 deficiency.
A Soy-Based Alternative to Traditional Bacterial Nutrient Media,Vegans cite ethical or moral convictions concerning animal rights as reasons for their lifestyle choice.
A Soy-Based Alternative to Traditional Bacterial Nutrient Media,Vegans cite ethical or moral convictions concerning animal rights as reasons for their lifestyle choice.
Living on the veg,Vegans can get vitamin and nutrient deficiencies due to diet restrictions.
Vegans: from radical hippies to inspiring celebrities?,Vegans are viewed as outside of the norm due to the dominant ideology of Carnism.
The best medicine,Vegans are turning even picky eaters into lovers of high-quality meals.
Comprehending Vegan Identity Construction through Consumption: A qualitative meta-synthesis,Vegans are required to act consciously towards their purchase actions in order to construct their identity.
In defense of the vegan ideal: Rhetoric and bias in the nutrition literature,Vegans are not at significantly greater risk of nutritional deficiency than omnivores.
Intergroup Sensitivity and Promoting Sustainable Consumption: Meat Eaters Reject Vegans’ Call for a Plant-Based Diet,Vegans are more successful at promoting vegan diets than meat-eaters.
Intergroup Sensitivity and Promoting Sustainable Consumption: Meat Eaters Reject Vegans’ Call for a Plant-Based Diet,Vegans are more likely to reject calls for dietary change from non-vegans than from fellow meat-eaters.
Veganism and equality research,Vegans are at risk of unfair and discriminatory treatment in all major sectors of social life.
